job_title,company,location,salary,country
newBusiness Resilience Lead – Vice President (Hybrid),Morgan Stanley,"Remote in Montréal, QC",,Canada
"Chef valorisation des données de mobilité, Québec",Réseau de transport de la Capitale,"Hybrid remote in Quebec City, QC","$97,800 - $127,120 a year",Canada
"Business Data Lead, Omnia AI",Deloitte,"Toronto, ON",,Canada
Database Support Specialist,"Canadian Bank Note Company, Limited","Ottawa, ON",,Canada
newPower Systems and Markets Engineer,Ontario Power Generation,"Hybrid remote in Toronto, ON",,Canada
"newCS-03 : Database Analyst, Database Developer, Data Modeller,...",Canada Revenue Agency,Temporarily Remote in Canada,"$91,483 - $113,503 a year",Canada
"Demand Marketing Specialist, Traction Complete",Uncommon Purpose,Remote,,Canada
Business Analyst: Technical Requirements,IBM,"Halifax, NS",,Canada
Regulatory and Compliance Associate,Medisca Pharmaceutique Inc,"Saint-Laurent, QC",,Canada
"newStaff (Lead) Data Engineer (Remote, Canada)",Shopify,"Remote in Toronto, ON",,Canada
Power Platform Developer,Nuclear Promise X,"Remote in Kincardine, ON",,Canada
"newSpecialist, Recruitment Sourcing",Canada Post - Postes Canada,"Calgary, AB",,Canada
Marketing Manager,Precision ADM Inc.,"Winnipeg, MB",,Canada
newWeb SDK Developer,Inpixon,"Toronto, ON+3 locations",,Canada
"Vice President - Global/GOM, Intelligence - 22263",Enverus,"Calgary, AB",,Canada
Senior Data Analyst,Deloitte,"Toronto, ON",,Canada
Power BI Report Developer,VCA Canada,"Calgary, AB",,Canada
Senior BI Developer,Stantec,"Edmonton, AB+1 location",,Canada
Data and Analytics Director,Alithya,"Remote in Montréal, QC",,Canada
"Manager, Counterparty Credit Risk Capital",BMO Financial Group,"Toronto, ON",,Canada
"Business Systems Consultant, Business Solutions",Healthcare of Ontario Pension Plan (HOOPP),"Hybrid remote in Toronto, ON",,Canada
"Software Engineer, Data Analytics Intern",Autodesk,"Remote in Toronto, ON",,Canada
"Coordinator, Competitive Intelligence and Data",Davies Ward Phillips & Vineberg LLP,"Toronto, ON",,Canada
Project Manager,Nutrien Ltd.,"Cory, SK",,Canada
"Associate Director, Marketing","Taro Pharmaceuticals INC, Canada","Brampton, ON",,Canada
Director of Commercial Real Estate Research,Marcus & Millichap,"Vancouver, BC+1 location",,Canada
Business Solution Architect,The Delivery Group,"Toronto, ON",,Canada
Geospatial Image Analyst,MDA,"Ottawa, ON",,Canada
newSR. Java Developer,Moody's Investors Service,"Montréal, QC",,Canada
newM365 Application Support Specialist - Tax Technology Enablem...,EY,"Remote in Toronto, ON",,Canada
Business Development Representative,Meltwater,"Toronto, ON",,Canada
Talent Advisor,Motion Recruitment,"Toronto, ON",,Canada
Business Analyst IAM,Talan,"Montréal, QC",,Canada
"newManager, Business Payment Products (Interac e-Transfer), Glo...",Scotiabank,"Toronto, ON",,Canada
Fullstack Developer,Irdeto,"Ottawa, ON",,Canada
"newManager, Model Quality - Retail & Small Business Model Opera...",Scotiabank,"Toronto, ON",,Canada
"Advisory, Acceleration Centre, Business Analyst (Bilingual -...",PwC,"Remote in Toronto, ON",,Canada
Senior SSIS ETL Developer,Sierra Wireless,"Richmond, BC",,Canada
"Business Intelligence Analyst, Product (French Services)",CBC/Radio-Canada,"Montréal, QC",,Canada
"newFull Stack Developer, Analytics & Search (English Services)",CBC/Radio-Canada,"Toronto, ON",,Canada
"Director, Brand Management",McMillan LLP,"Toronto, ON",,Canada
newBI Project Manager,Alithya,"Montréal, QC",,Canada
"newBusiness Analyst, Talent Acquisition, People Analytics, Inno...","AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",,Canada
Software Engineer (Toronto),StackAdapt,Canada,,Canada
"Manager, Transit Operations",Regional Municipality of Wood Buffalo,"Fort McMurray, AB",,Canada
Logistics Business Analyst,Transplace Canada Ltd.,"Oakville, ON",,Canada
Business Analyst,Société Générale,"Montréal, QC",,Canada
Hedge Fund Accounting Supervisor,State Street,"Toronto, ON",,Canada
Software Developer,DRW Trading Group,"Montréal, QC",,Canada
Analyst - Financial Management,Statistics Canada,"Temporarily Remote in Ottawa, ON","$59,211 - $83,062 a year",Canada
Oracle EBS Techno-Functional Analyst (18-month term - Remote...,BWX Technologies,"Remote in Ottawa, ON",,Canada
Billing Specialist,Victoria Shipyards,"Victoria, BC",,Canada
Director of Marketing,TKEES,"Toronto, ON",,Canada
Data Strategy Consultant,Keyrus Canada EN,"Toronto, ON",,Canada
Project Leader (Business Analyst),Kwantlen Polytechnic University,"Surrey, BC",,Canada
Microsoft Dynamics 365 Customer Engagement (CRM) Consultant,Corporate Renaissance Group,"Remote in Ottawa, ON",,Canada
newHCM Specialist- Payroll,IBM,"Ottawa, ON",,Canada
Data Engineer,IQVIA,Remote,,Canada
A/R- Credit Specialist,The Descartes,"Temporarily Remote in Waterloo, ON",,Canada
Systems Report Developer \ Data Specialist,University of Waterloo,"Waterloo, ON",,Canada
newRegional Sales Manager,Bombardier,"Dorval, QC",,Canada
Senior Business Analyst - Sales Innovation,Just Energy,"Remote in Mississauga, ON",,Canada
newBI Developer,McGill University,"Montréal, QC",,Canada
newSenior Project Manager,RWS,"Remote in Montréal, QC",,Canada
"newManager- Business Operations (Multiple locations), AWS Comme...",Amazon Dev Centre Canada ULC,"Vancouver, BC+1 location",,Canada
structural engineer,IN Surveying Ltd.,"Remote in Brockville, ON","$70,000 - $95,000 a year",Canada
"newSupport Engineer IV, Tax Engine Artisans",Amazon Dev Centre Canada ULC,"Vancouver, BC",,Canada
Data Extracts - ETL Developer,NTT DATA,"Halifax, NS",,Canada
"newManaging Director, Digital Investing Marketing and Wealth Di...",BMO Financial Group,"Toronto, ON",,Canada
newSenior Data Scientist,Scotiabank,"Toronto, ON",,Canada
Regional Director- Eastern Region,Bayshore HealthCare,"Ottawa, ON",,Canada
"newNetwork Technician, Bell Aliant",Bell Canada,"Clarenville, NL",,Canada
Administrative Assistant,Wells Fargo,"Mississauga, ON",,Canada
Data Engineer,Keyrus Canada EN,"Montréal, QC",,Canada
newBusiness Development Manager,Chubb INA Holdings Inc.,"Toronto, ON",,Canada
"Director, EA Create Operations & Strategy",Electronic Arts,"Vancouver, BC",,Canada
Corporate Strategy Analyst,KUBRA,"Remote in Greater Toronto Area, ON",,Canada
"Director, People",Canucks Sports & Entertainment,"Vancouver, BC",,Canada
Analyste en intelligence d'affaires (Spécialiste principal(e...,Merck,"Hybrid remote in Kirkland, QC",,Canada
newIT Technology Consultant / Developer,SAP,"Vancouver, BC",,Canada
Senior Market Intelligence Manager - TELUS Agriculture,TELUS,"Toronto, ON",,Canada
"Consultant, Risk Advisory - Rotational Program - New Grad 20...",Deloitte,Canada,,Canada
Business Analyst - Supply Chain Planning Support,Wolseley,"Burlington, ON",,Canada
Executive Vice President,Overbond,"Toronto, ON",,Canada
Senior User Experience Researcher - Remote Canada (14893),Getty Images,Remote,,Canada
Intermediate Computer Developer / Analyst,IMP Group,"Halifax, NS",,Canada
Java Developer (Opportunity for international candidates),CGI Inc,"Remote in Halifax, NS",,Canada
Head of People,Game Hive Corporation,"Toronto, ON",,Canada
"Director, Data Strategy and Analytics",The Boiler Inspection and Insurance Company of...,"Toronto, ON",,Canada
Internal Auditor I,Tipalti,"Toronto, ON",,Canada
Enterprise Data Engineer,Bayshore HealthCare,"Remote in Mississauga, ON",,Canada
Spare Parts Operations Manager - North America,Husky Injection Molding,"Bolton, ON",,Canada
"Director, Loyalty",Porter Airlines Inc.,"Toronto, ON",,Canada
"Director, Distribution Research - Advice",Institutional Shareholder Services,"Toronto, ON",,Canada
"Manager, Strategic Change Management, Strategy Realization O...",Deloitte,Canada,,Canada
"Director, Operations - East",VetCare Canada,"Toronto, ON+1 location",,Canada
Senior Data Engineer,Infostrux Solutions,Remote,,Canada
Director- Data Strategy & Analytics,HSB BI&I,"Toronto, ON",,Canada
"Internal Strategy Senior Consultant, Chief Strategy and Inno...",Deloitte,Canada,,Canada
Global Network Planning Technician,Equinix,"Gatineau, QC",,Canada
Creator Community & Marketing Lead,Masterpiece Studio,Remote,,Canada
"Pricing Analyst- Analytics, Research & Pricing",Alberta Blue Cross,"Edmonton, AB",,Canada
INVENTORY - Financial Advisor,"Immigration, Refugees and Citizenship Canada","Ottawa, ON","$72,074 - $97,774 a year",Canada
"Clinical Trial Manager (Canada, Remote)",PRA Health Sciences,Remote,,Canada
"Mediabrands - Senior Analyst, Advanced Analytics",IPG Mediabrands,"Toronto, ON",,Canada
"Manager, Digital Effectiveness - The Chang School",Ryerson University,"Temporarily Remote in Toronto, ON","$95,636 a year",Canada
Business Analyst - Consent,Desjardins,"Hybrid remote in Montréal, QC",,Canada
Data Analyst,eSSENTIAL Accessibility,"Toronto, ON",,Canada
newContrôleur processus de coûts,Alstom,"Hornell, ON",,Canada
"Open Source Intelligence Senior Associate, Forensic",Ouest,Ontario,,Canada
Business Analyst,Vantix Systems Inc,"Remote in Edmonton, AB",,Canada
"newReporting & Analytics Specialist, Personal Risk Services",Chubb INA Holdings Inc.,"Toronto, ON",,Canada
Web Content Management Delivery Lead,Accenture,"Toronto, ON+2 locations",,Canada
"Product Manager, Mobile Software Engineering, Chrome",Google,"Montréal, QC",,Canada
newAgri-Business Development Advisor,Ontario Mutual,"Remote in Listowel, ON",,Canada
Budgeting & Reporting Analyst,Healthcare of Ontario Pension Plan (HOOPP),"Hybrid remote in Toronto, ON",,Canada
Business development executive Data & AI,Kyndryl,"Toronto, ON",,Canada
Clinical Project Director (Remote US or Canada),PRA Health Sciences,Remote,,Canada
Pricing Analyst,"The Travelers Companies, Inc.","Toronto, ON",,Canada
Integration Analyst,Murex,"Toronto, ON",,Canada
"Manager, Advanced Materials and Asset Integrity",Alberta Innovates,"Devon, AB",,Canada
Senior ETL Technical Administrator,MMC Corporate,"Toronto, ON",,Canada
"Manager, Planning and Reporting",Huddle,"Halifax, NS",,Canada
"Manager, Data Science and Analytics",ConnectWise,"Quebec City, QC",,Canada
"Senior Manager, Analytics & Reporting",Scotiabank,"Toronto, ON",,Canada
"newData Analyst, ES-04",Canada Revenue Agency,"Temporarily Remote in Ottawa, ON","$87,815 - $105,702 a year",Canada
"newData Analyst (VBA,SQL)",Sun Life Financial,"Temporarily Remote in Toronto, ON",,Canada
"newRBC Capital Markets, Fall 2022 Co-op, BCS - Data Analyst",Royal Bank of Canada,"Toronto, ON",,Canada
newData Analyst,University of Victoria,"Victoria, BC","$61,935 - $81,286 a year",Canada
newData Analyst,Manulife,"Toronto, ON",,Canada
newHEALTH INFORMATION ANALYST,City of Toronto,"Toronto, ON",,Canada
newInventory Control Analyst,Lululemon,Remote,,Canada
newData Analyst – Subscription Analytics,Torstar,"Toronto, ON",,Canada
"newData Analyst, Competitive Intelligence",Klue,"Remote in Vancouver, BC",,Canada
newJunior Data Analyst,SAIT,"Calgary, AB","$52,000 - $67,000 a year",Canada
"Analyst, Data",Ontario Health,Ontario,,Canada
Senior Data Analyst,Dapper Labs,Remote,,Canada
Data Analyst,Lululemon,"Vancouver, BC",,Canada
2022 FALL Student - Data Analyst Student,Canadian Nuclear Laboratories,Remote,,Canada
newSEO Data Analyst,Carfax,"London, ON",,Canada
newPS Systems Analyst,Canadian Red Cross,Temporarily Remote,,Canada
newData Support Sr Analyst,Bank of America,"Toronto, ON",,Canada
newLogistics Data Analyst Fall Co-op,Johnson & Johnson,"Markham, ON",,Canada
newData Analyst,Canadian Tire Corporation,"Toronto, ON+1 location",,Canada
newData Analyst,Deer Lodge Centre,"Winnipeg, MB",$21.41 an hour,Canada
Data Analyst,Westjet Airlines,"Remote in Calgary, AB",,Canada
"Data Analyst, Traction Rec",Uncommon Purpose,Remote,,Canada
newRating Analyst,S&P Global,"Remote in Toronto, ON","$46,200 - $75,000 a year",Canada
newTechnology & Innovation Research Analyst (Summer Student,Islamic Relief Canada,Remote,,Canada
newData Analyst,Zensurance,"Remote in Toronto, ON",,Canada
Data Analyst,Dapper Labs,Remote,,Canada
Revenue Analyst - WestJet Vacations,Westjet Airlines,Remote,,Canada
"newPCAS22 - 058 - Analyst, Data Intelligence (2 Year Contract)",Peel Children’s Aid Society,"Mississauga, ON",$37.87 - $48.78 an hour,Canada
Data Analyst,MasterCard,"Hybrid remote in Toronto, ON",,Canada
newHR Data Analyst (Data Governance),Royal Bank of Canada,"Toronto, ON",,Canada
newResearch Analyst,City of Brampton,"Brampton, ON",$17.80 an hour,Canada
newData Quality Analyst Centre for Depression and Sui,St. Michael's Hospital,"Toronto, ON",$29.42 - $38.26 an hour,Canada
"newRBC Wealth Management, Fall 2022 Co-op, Business Data Analys...",Royal Bank of Canada,"Toronto, ON",,Canada
Health Data Analyst - Full Time,Region of Waterloo,"Waterloo, ON",,Canada
"newData Analyst, Business Intelligence, CP2",Bell Canada,"Toronto, ON",,Canada
Marketing Data Analyst,TrackDDB,"Remote in Toronto, ON",,Canada
newBusiness Analyst I,TELUS,"Toronto, ON+2 locations",,Canada
Engagement Data Analyst,City of Coquitlam,"Remote in Coquitlam, BC",$37.12 - $43.82 an hour,Canada
newSenior Data Analyst,Scotiabank,"Toronto, ON",,Canada
Data Analyst - FIFA Mobile,Electronic Arts,"Vancouver, BC",,Canada
newHealth Data Analyst,Chatham-Kent,"Chatham-Kent, ON",,Canada
Senior Data Analyst,fusionSpan,Remote,,Canada
Jr. Data/Reporting Analyst,Scarsin,"Markham, ON",,Canada
Game Data Analyst,Eastside Games Studio,Remote,,Canada
newData Analyst,CI Investments Inc,"Toronto, ON",,Canada
newSenior Investment Data Analyst,Royal Bank of Canada,"Toronto, ON",,Canada
"Associate, Business Analyst (New Grad)",Capital One,"Hybrid remote in Toronto, ON",,Canada
newBusiness Analyst,Royal Bank of Canada,"Toronto, ON",,Canada
"Business Intelligence Analyst, Data and Analytics, Google Cl...",Google,"Waterloo, ON",,Canada
"Analyst, Data Strategy Fall 2022 Student",Royal Bank of Canada,"Toronto, ON",,Canada
Data Analyst,Geotab,"Remote in Oakville, ON",,Canada
"Data Analyst (Tableau), X-Ray",Uncommon Purpose,Remote,,Canada
newAnalyst III,TD Bank,"Toronto, ON",,Canada
People Operations Analyst,Dapper Labs,Remote,,Canada
newSenior Analyst - CPG Manufacturer,NielsenIQ,"Markham, ON",,Canada
newmarketing analyst,Granite Springs Golf Club,"Bayside, NS",$36 an hour,Canada
newMaster Data Analyst,Metrie,"Vancouver, BC",,Canada
Data Analyst - theScore Bet,theScore Inc.,"Toronto, ON",,Canada
Data Analyst- Analytics and Reporting,Alberta Blue Cross,"Remote in Edmonton, AB",,Canada
newData Analyst,Citi,"Mississauga, ON",,Canada
Data and Process Analyst - Accreditation,University of Waterloo,"Waterloo, ON",,Canada
Support Data Analyst (Python),ATP,Remote,,Canada
newData Analyst,The College of Physicians and Surgeons of Ontario,"Toronto, ON",,Canada
newAutomations Analyst,BMO Financial Group,Ontario,,Canada
newBusiness Analyst,Dash Hudson,"Remote in Halifax, NS",,Canada
Data Analyst,Avison Young Canada,"Mississauga, ON",,Canada
Microbiology Analyst (Inventory),Canadian Food Inspection Agency,"Calgary, AB+1 location","$63,302 - $80,094 a year",Canada
newJr. Business Analyst,eHealth Saskatchewan,"Regina, SK",$32.70 - $39.81 an hour,Canada
Data Analyst,Neo Financial,"Calgary, AB",,Canada
"newAnalyst, Business Intelligence & Analytics (Canada or US)",ACCOR(CORPORATE),"Remote in Toronto, ON",,Canada
newIT Quality Analyst,Citi,"Mississauga, ON",,Canada
"newTransportation Operations Analyst, Shopify Fulfillment Netwo...",Shopify,"Remote in Toronto, ON",,Canada
newData Quality Analyst,United Way Winnipeg,"Remote in Winnipeg, MB",,Canada
newBusiness System Analyst,TELUS,"Toronto, ON",,Canada
Data Analyst (Hybrid),Morgan Stanley,"Remote in Montréal, QC",,Canada
Data Science Analyst (Remote),Yelp,"Remote in Greater Toronto Area, ON",,Canada
Data Analyst,Lucova,"Toronto, ON",,Canada
Data Analyst,Purolator,"Pickering, ON",,Canada
"newData Analyst, Data Products IA (Fall 2022 Student)",Royal Bank of Canada,"Toronto, ON",,Canada
newData Analyst- UofT PEY,Seismic,"Toronto, ON",,Canada
Data Analyst II (Canada Remote),Fullscript,"Remote in Ottawa, ON",,Canada
newJr Business Analyst,Aviva,"Markham, ON",,Canada
Data Analyst (Remote),Cognizant Microsoft Business Group,"Remote in Toronto, ON",,Canada
"Marketing Analyst, Google Hardware",Google,"Toronto, ON",,Canada
Data Science Analyst,University Health Network,"Toronto, ON","$62,166 - $77,688 a year",Canada
investment analyst,Constance Financial Inc.,"Saskatoon, SK",$42.07 an hour,Canada
Data Analyst - Mobile QV,Electronic Arts,"Vancouver, BC",,Canada
Data Analyst - Sportsbook,Score Media Ventures Inc.,"Toronto, ON",,Canada
"newRBC Wealth Management, Fall 2022 Co-op - Business Risk & Dat...",Royal Bank of Canada,"Toronto, ON",,Canada
Data Governance Analyst,Dapper Labs,Remote,,Canada
newSenior Data Management/BI Analyst,JLL,"Toronto, ON",,Canada
"newData Analyst, Business Intelligence",CUSTOMER EXPERIENCE/EXPRIÉNCE CLIENT,"Toronto, ON",,Canada
newDATA MANAGEMENT AND REPORTING ANALYST,Humber,"Etobicoke, ON",$35.83 an hour,Canada
"newData Analyst, System Optimization",Fraser Health,"Surrey, BC",,Canada
newData Quality Analyst,SkyHive Technologies Inc.,"Vancouver, BC",,Canada
information systems analyst - computer systems,Elastalink Corp,"Ottawa, ON",$45 an hour,Canada
ANALYSTE DE DONNÉES/ DATA ANALYST,Frima Studio,"Remote in Quebec City, QC",,Canada
newData Analyst,Tetra Tech,"Remote in Vancouver, BC",,Canada
newNews and Media Analyst,University of Alberta,"Edmonton, AB","$62,321 - $85,429 a year",Canada
Data Analyst,Coca-Cola Canada Bottling Limited,"Toronto, ON",,Canada
newMarket Data Analyst,Autodesk,"Toronto, ON",,Canada
newSenior Data Analyst,Unity Technologies,"Remote in Toronto, ON",,Canada
"Business Data Analyst, Propel",Uncommon Purpose,Remote,,Canada
newBusiness Analyst,H&E Equipment Services,"Headquarters, BC",,Canada
newData Analyst - Term,York Region District School Board,"Newmarket, ON","$78,497 - $88,350 a year",Canada
Senior Systems Analyst,The Ottawa Hospital,"Ottawa, ON","$88,696 - $110,267 a year",Canada
newIncentives Analyst,J.D. Power,"Remote in London, ON",$17 an hour,Canada
newAnalyst - Data valorization,Desjardins,"Hybrid remote in Montréal, QC",,Canada
Marketing Data Analyst,theScore Inc.,"Toronto, ON",,Canada
"Data Analyst, Marketing",CAPREIT,"Toronto, ON",,Canada
Sr Data Analyst,Aviva,"Markham, ON+1 location",,Canada
Data Analyst - Sportsbook,theScore Inc.,"Toronto, ON",,Canada
Data Analyst,BGIS,"Toronto, ON",,Canada
ADMN O 18R - Junior Data Analyst,BC Public Service,"Hybrid remote in Victoria, BC",,Canada
Junior Power Analyst,Dynasty Power Inc.,"Calgary, AB",,Canada
newManager Digital/Data Analyst,Publicis Sapient,"Toronto, ON",,Canada
Data Analyst - Reporting,Score Media Ventures Inc.,"Toronto, ON",,Canada
newWORKFORCE ANALYST,Ministry of the Solicitor General,"Toronto, ON","$69,425 - $100,036 a year",Canada
newMarketing Technology Analyst,StackPros Inc.,"Toronto, ON",,Canada
Planning Data Analyst,Metro Vancouver,"Burnaby, BC","$5,498 - $6,493 a month",Canada
newBudget Analyst - Permanent Position,York Catholic District School Board,Ontario,"$69,834 - $88,679 a year",Canada
newBI Data Engineer,TELUS,"Toronto, ON",,Canada
Product Data Analyst- Remote- Ontario,Mitel,"Remote in Ottawa, ON",,Canada
newGIS Analyst,Baird & Associates,"Oakville, ON",,Canada
"newProcess Analyst, IT Asset Management",Bank of Canada,"Temporarily Remote in Ottawa, ON",,Canada
Data Analyst - Reporting,theScore Inc.,"Toronto, ON",,Canada
newBusiness Systems/Technical Analyst,Accenture,"Toronto, ON",,Canada
Analysts Recruitment and Development Program - Social Statis...,Statistics Canada,Canada,"$62,168 - $85,778 a year",Canada
newSummer Student - Data Analyst Customs,Toromont CAT,"Hybrid remote in Toronto, ON",,Canada
Geophysicist/Data Analyst NEW,Sander Geophysics,"Ottawa, ON",,Canada
"Data Analyst (Fixed-Term, 12-months)",Infrastructure Ontario,"Toronto, ON",,Canada
QA Analyst,CaseWare IDEA,Canada,,Canada
newData Centre Analyst,BGIS,"Toronto, ON",,Canada
Data Analyst,Remsoft,"Fredericton, NB",,Canada
newBusiness Information Systems Analyst,TELUS,"Toronto, ON",,Canada
newAnalyst - Compensation,Westjet Airlines,"Remote in Calgary, AB",,Canada
Senior Data and Reporting Analyst,Royal Bank of Canada,"Toronto, ON",,Canada
"newAnalyst, Business Intelligence",Bell Canada,"Toronto, ON",,Canada
"Media Experts - Analyst, Audience & Analytics",IPG Mediabrands,"Toronto, ON",,Canada
Resource Management Data Analyst,KPMG,"Toronto, ON",,Canada
Opportunities for Data Analysts,JDI IT,"Fredericton, NB",,Canada
Systems & Data Analyst,Canadian Red Cross,Remote in Canada,,Canada
Data Analyst Full-time,Manitoba Agricultural Services Corporation,Manitoba,"$67,671 - $84,523 a year",Canada
newdatabase analyst,AJC & Associates Inc.,"Remote in Scarborough, ON",$40 an hour,Canada
Product Data Analyst,Perpetua,"Remote in Toronto, ON",,Canada
Data Analyst,Woodlands Head Office,"Saint John, NB",,Canada
"Data Analyst, Data Management","Connor, Clark & Lunn Financial Group","Remote in Vancouver, BC",,Canada
newSecuritization and Funding Analyst,Central 1 Credit Union,"Hybrid remote in Toronto, ON",,Canada
Data and Reporting Analyst,Vermilion Energy,"Calgary, AB",,Canada
Associate Analyst (entry level) Data Lineage & Control,Royal Bank of Canada,"Halifax, NS",,Canada
newCRM Analyst,Laura Canada,"Laval, QC",,Canada
Data Analyst- Contract,Assent,"Remote in Ottawa, ON",,Canada
Data Governance Analyst,Trackunit,"Remote in Kitchener-Waterloo, ON+1 location",,Canada
Senior Data and Reporting Analyst - #CStech,Royal Bank of Canada,"Toronto, ON",,Canada
"newSenior Developer Analyst, Data and Personalization | TELUS D...",TELUS,"Remote in Toronto, ON",,Canada
Data Analyst,Oracle,"Remote in Kitchener, ON",,Canada
Data Analyst - Logistics,Zekelman Industries,"Harrow, ON",,Canada
Data Analyst,Royal Bank of Canada,"Toronto, ON",,Canada
Business System Analyst,BMO Financial Group,"Toronto, ON",,Canada
data warehouse analyst,Hypertec Administration Inc.,"Saint-Laurent, QC","$70,000 - $80,000 a year",Canada
Data Analyst - Land,Fugro,"Mississauga, ON",,Canada
"Innovation Researcher and Analyst, Advisory",KPMG,"Toronto, ON",,Canada
Data Analyst,Mueller Water Products,"Toronto, ON",,Canada
Data Analyst,CARFAX Canada,"London, ON",,Canada
GIS Data Analyst,Pomerleau,"Remote in Montréal, QC",,Canada
Business Analyst,Valtech,Remote,,Canada
newBusiness Analyst,Vancouver Coastal Health,"Surrey, BC+1 location",$33.35 - $47.94 an hour,Canada
"newANALYST, INTERNATIONAL STUDENT SERVICES",Universite Concordia,"Montréal, QC","$69,064 - $82,479 a year",Canada
"newData Analyst, Commercial Technology",ArcelorMittal Dofasco,"Hybrid remote in Hamilton, ON",,Canada
Junior Analyst,BCAA,Canada,,Canada
Actuarial Analyst - Data Science,Aviva,"Montréal, QC",,Canada
Senior Data Analyst,CryptoKitties,"Vancouver, BC",,Canada
"Data Analyst, SQL/Tableau Developer",University of Victoria,"Victoria, BC","$61,935 - $81,286 a year",Canada
Data Analyst,SS&C Technologies,"Mississauga, ON",,Canada
Data Analyst,Centre for Gender and Sexual Health Equity,"Head, ON","$54,705 - $59,479 a year",Canada
Data Analyst,HKJ Marketing,"Richmond, BC",,Canada
"newSenior Analyst, Business- Special Projects",Ontario Health,"Toronto, ON",,Canada
Strategy & Operations Analyst,Unstoppable Domains,Remote,,Canada
"Data Analyst, Consultant - GRCS Risk Consulting",KPMG,"Toronto, ON",,Canada
Senior Market Research Analyst,SAIT,"Calgary, AB","$72,098 - $78,724 a year",Canada
newIT (information technology) business analyst,KAYZEN CLOUD SOLUTIONS,"Mississauga, ON",$41.60 an hour,Canada
Logistics Analyst,Lululemon,Remote in British Columbia,,Canada
newServiceNow Business Analyst,EY,"Remote in Toronto, ON",,Canada
newData Analyst,Aecon Group,"Toronto, ON",,Canada
newDATA ANALYST,Business Development Bank of Canada,"Temporarily Remote in Montréal, QC",,Canada
IT Data Analyst,TD Bank,"Toronto, ON",,Canada
"newAnalyst, Business Intelligence",EDC,"Ottawa, ON","$64,100 - $96,100 a year",Canada
Data Analyst,Sun Life Financial,"Temporarily Remote in Toronto, ON",,Canada
HR Data Analyst,Ledcor,"Vancouver, BC+2 locations",,Canada
Data Analyst - Paradigm Quest,MCAP,"Toronto, ON",,Canada
"Data Analyst, Omnia AI (CDC)",Deloitte,"Montréal, QC",,Canada
Lead Data Analyst,EDealer,"Toronto, ON",,Canada
"Analyst, Client Data Analytics",Royal Bank of Canada,"Halifax, NS",,Canada
Data Analyst - Level 3,Libro Credit Union,"London, ON",,Canada
Marketing Data Analyst,Score Media Ventures Inc.,"Toronto, ON",,Canada
Senior Data Analyst,Taking Root,"Remote in Vancouver, BC",,Canada
Research Analyst,Centre for Addiction and Mental Health,"Toronto, ON",$25.03 - $33.38 an hour,Canada
HRIS Analyst,The Town of Caledon,"Remote in Caledon, ON","$67,010 - $80,895 a year",Canada
Data Analyst,City of Edmonton,"Edmonton, AB",$38.71 - $48.36 an hour,Canada
Data Analyst and Programmer,University of Waterloo,"Waterloo, ON",,Canada
Data Analyst (Growth-Marketing),Game Hive Corporation,"Toronto, ON",,Canada
Senior Data Analyst,J.D. Power,"Remote in Toronto, ON",,Canada
newData Analyst (Hybrid),Ontario Power Generation,"Hybrid remote in Bowmanville, ON",,Canada
Anaplan Business Analyst,PwC,Remote in Canada,,Canada
newBusiness Analyst,Bank of Canada,"Temporarily Remote in Ottawa, ON",,Canada
newBusiness Analyst (Store Systems) - Data & Integration,Pet Valu,"Markham, ON",,Canada
"BI Analyst, Data Operations",Compass Group,"Mississauga, ON",,Canada
"newForecasting & data analyst, Analytics & Modelling",TD Bank,"Toronto, ON",,Canada
"newAnalyst, Inventory",Anheuser-Busch,"Creston, BC",,Canada
Data Analyst,CryptoKitties,"Vancouver, BC",,Canada
newBusiness Intelligence Analyst (SK),ISM Canada,"Regina, SK","$2,657 a week",Canada
newData Strategy and Operations Analyst,Sanofi US,"Toronto, ON",,Canada
Data Visualization Business Analyst,PHSA,"Burnaby, BC",$40.46 an hour,Canada
Data Visualization Engineer,Compass Digital Labs,Remote,,Canada
newData Science Analyst,Numeris,"Remote in Toronto, ON",,Canada
newBusiness System Analyst 1,Symcor,"Mississauga, ON",,Canada
newMobile Services Analyst,BMO Financial Group,"Toronto, ON",,Canada
Analyst- Strategy & Transformation,Royal Bank of Canada,"Toronto, ON",,Canada
Research & Asset Management Analyst,JLL,"Toronto, ON",,Canada
Physical Security Analyst (New Grad),BMO Financial Group,"Toronto, ON",,Canada
"newAnalyst, Service Desk - Ottawa",Morguard,"Ottawa, ON",,Canada
Reporting and Data Analyst - Office of The Registrar,SAIT,"Calgary, AB","$75,000 - $85,000 a year",Canada
newDesktop Support Analyst,Geotab,"Remote in Waterloo, ON",,Canada
Quality Data Analyst,Vancouver Shipyards,"North Vancouver, BC",,Canada
newFUNCTIONAL ANALYST,Universite Concordia,"Montréal, QC","$74,676 - $89,201 a year",Canada
Data Analyst- Finance Transformation,Irving Business Services,"Saint John, NB",,Canada
Remedy System Analyst,CGI Inc,Remote,,Canada
IT Business Analyst,Baylis Medical Technologies,"Hybrid remote in Mississauga, ON",,Canada
newBusiness Systems Analyst,Royal Bank of Canada,"Toronto, ON+1 location",,Canada
newMarket Insights Analyst,Mistplay,"Remote in Montréal, QC",,Canada
